County,City,Date,Total-Pop,Household,Group Quarters,Total-HU,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household
California,State Total,4/1/10,"37,253,956","36,412,191","841,765","13,670,304","7,959,078","966,440","1,110,620","3,076,519","557,647","12,568,167",8.1%,2.90
California,State Total,1/1/11,"37,561,624","36,724,643","836,981","13,704,840","7,976,300","967,711","1,112,447","3,090,252","558,130","12,602,167",8.0%,2.91
California,State Total,1/1/12,"37,924,661","37,086,745","837,916","13,740,400","7,993,130","969,232","1,114,374","3,104,901","558,763","12,643,822",8.0%,2.93
California,State Total,1/1/13,"38,269,864","37,441,011","828,853","13,785,895","8,012,617","970,796","1,116,715","3,126,379","559,388","12,714,805",7.8%,2.94
California,State Total,1/1/14,"38,556,731","37,717,623","839,108","13,845,405","8,038,266","973,059","1,119,289","3,154,794","559,997","12,779,197",7.7%,2.95
California,State Total,1/1/15,"38,870,150","38,026,555","843,595","13,914,933","8,066,653","975,257","1,121,406","3,191,211","560,406","12,846,094",7.7%,2.96
California,State Total,1/1/16,"39,131,307","38,296,346","834,961","13,982,747","8,094,768","977,771","1,123,600","3,225,753","560,855","12,930,089",7.5%,2.96
California,State Total,1/1/17,"39,398,702","38,556,389","842,313","14,072,205","8,129,171","981,323","1,126,460","3,273,664","561,587","13,017,616",7.5%,2.96
California,State Total,1/1/18,"39,586,646","38,737,074","849,572","14,157,502","8,160,864","985,926","1,129,761","3,318,946","562,005","13,106,373",7.4%,2.96
California,State Total,1/1/19,"39,695,376","38,844,962","850,414","14,235,201","8,191,089","994,727","1,132,556","3,357,009","559,820","13,188,852",7.4%,2.95
California,State Total,1/1/20,"39,782,870","38,929,988","852,882","14,329,863","8,231,436","996,865","1,143,284","3,397,461","560,817","13,272,939",7.4%,2.93
California,Incorporated,4/1/10,"30,764,188","30,089,880","674,308","11,187,787","6,105,716","866,581","999,639","2,892,682","323,169","10,406,502",7.0%,2.89
California,Incorporated,1/1/11,"31,086,714","30,417,713","669,001","11,233,387","6,133,385","868,217","1,001,639","2,906,220","323,926","10,450,144",7.0%,2.91
California,Incorporated,1/1/12,"31,506,091","30,838,562","667,529","11,292,199","6,167,970","870,786","1,004,624","2,922,833","325,986","10,512,008",6.9%,2.93
California,Incorporated,1/1/13,"31,858,521","31,195,513","663,008","11,342,703","6,190,758","873,232","1,007,231","2,944,809","326,673","10,586,394",6.7%,2.95
California,Incorporated,1/1/14,"32,110,077","31,440,447","669,630","11,395,169","6,212,021","875,230","1,009,510","2,971,701","326,707","10,642,843",6.6%,2.95
California,Incorporated,1/1/15,"32,385,073","31,713,035","672,038","11,458,347","6,235,924","876,945","1,011,464","3,007,149","326,865","10,703,921",6.6%,2.96
California,Incorporated,1/1/16,"32,628,187","31,961,873","666,314","11,523,164","6,261,063","880,963","1,013,482","3,040,578","327,078","10,782,051",6.4%,2.96
California,Incorporated,1/1/17,"32,870,570","32,198,497","672,073","11,605,749","6,290,289","884,845","1,016,075","3,087,391","327,149","10,862,557",6.4%,2.96
California,Incorporated,1/1/18,"33,051,381","32,377,068","674,313","11,688,063","6,319,787","889,368","1,019,281","3,132,379","327,248","10,946,718",6.3%,2.96
California,Incorporated,1/1/19,"33,163,325","32,484,746","678,579","11,761,178","6,347,114","898,250","1,021,772","3,168,721","325,321","11,023,530",6.3%,2.95
California,Incorporated,1/1/20,"33,256,246","32,579,787","676,459","11,847,758","6,381,159","899,959","1,032,290","3,208,669","325,681","11,101,969",6.3%,2.93
California,Balance of State,4/1/10,"6,489,768","6,322,311","167,457","2,482,517","1,853,362","99,859","110,981","183,837","234,478","2,161,665",12.9%,2.92
California,Balance of State,1/1/11,"6,474,910","6,306,930","167,980","2,471,453","1,842,915","99,494","110,808","184,032","234,204","2,152,023",12.9%,2.93
