name,num_stores,county,land_area,FIPS,Total.Pop,Household,Group.Quarters,Total.HU,Single.Detached,Single.Attached,Two.to.Four,Five.Plus,Mobile.Homes,Occupied,Vacancy.Rate,Persons.per.Household
Agoura Hills,1,Los Angeles,7.79,06037,"20,566","20,478",88,"7,639","5,349","1,019",185,"1,064",22,"7,383",3.4%,2.77
Alameda,1,Alameda,10.61,06001,"81,312","79,787","1,525","33,147","13,998","3,417","5,997","9,608",127,"31,829",4.0%,2.51
Aliso Viejo,1,Orange,7.47,06059,"50,044","49,575",469,"20,192","7,049","5,233",666,"7,244",0,"19,078",5.5%,2.6
Arroyo Grande,1,San Luis Obispo,5.84,06079,"17,687","17,513",174,"7,879","5,380",648,370,886,595,"7,504",4.8%,2.33
Bakersfield,1,Kern,142.16,06029,"392,756","389,102","3,654","131,363","94,257","3,361","14,677","16,289","2,779","123,160",6.2%,3.16
Berkeley,1,Alameda,10.47,06001,"122,580","107,894","14,686","51,523","21,106","2,096","10,075","18,028",218,"47,718",7.4%,2.26
Brea,1,Orange,12.08,06059,"45,629","45,490",139,"16,911","9,426","1,478",523,"4,480","1,004","16,297",3.6%,2.79
Brentwood,1,Contra Costa,14.79,06013,"65,118","64,972",146,"20,954","18,513",662,380,"1,045",354,"20,067",4.2%,3.24
Burbank,1,Los Angeles,17.34,06037,"105,861","105,288",573,"44,978","19,908","1,913","4,742","18,280",135,"42,805",4.8%,2.46
Calabasas,1,Los Angeles,12.9,06037,"24,193","24,184",9,"9,230","6,223",663,500,"1,613",231,"8,918",3.4%,2.71
Camarillo,1,Ventura,19.53,06111,"70,261","69,757",504,"27,789","16,095","4,901","1,053","4,720","1,020","26,766",3.7%,2.61
Campbell,1,Santa Clara,5.8,06085,"42,288","42,087",201,"18,158","8,189","2,404","2,028","5,221",316,"16,855",7.2%,2.5
Capitola,1,Santa Cruz,1.59,06087,"10,108","9,960",148,"5,554","1,654",606,"1,403","1,118",773,"4,773",14.1%,2.09
Carlsbad,1,San Diego,37.72,06073,"114,463","113,548",915,"47,629","25,055","8,055","2,620","10,619","1,280","44,349",6.9%,2.56
Castro Valley,1,Alameda,16.92,06001,,,,,,,,,,,,
Cathedral City,1,Riverside,21.5,06065,"53,580","53,290",290,"21,447","12,052","2,885","2,268","1,744","2,498","17,322",19.2%,3.08
Cerritos,1,Los Angeles,8.73,06037,"49,994","49,890",104,"16,204","13,419","1,410",429,927,19,"15,664",3.3%,3.19
Chatsworth,1,Los Angeles,15.24,06037,,,,,,,,,,,,
Chico,1,Butte,32.92,06007,"110,326","106,605","3,721","41,738","22,365","1,648","6,345","9,302","2,078","39,650",5.0%,2.69
Chino Hills,1,San Bernardino,44.68,06071,"82,409","82,254",155,"25,850","19,942",883,890,"3,508",627,"24,914",3.6%,3.3
Chula Vista,1,San Diego,49.63,06073,"272,202","270,545","1,657","86,785","46,225","8,420","5,283","22,792","4,065","83,316",4.0%,3.25
Claremont,1,Los Angeles,13.35,06037,"35,807","30,361","5,446","12,521","8,209","1,346","1,055","1,888",23,"11,779",5.9%,2.58
Clovis,1,Fresno,23.28,06019,"119,175","118,787",388,"42,576","31,227",764,"3,424","6,201",960,"41,011",3.7%,2.9
Concord,2,Contra Costa,30.55,06013,"130,143","128,743","1,400","47,373","27,427","3,210","3,450","11,527","1,759","45,297",4.4%,2.84
Corona,1,Riverside,38.83,06065,"168,248","167,602",646,"49,941","33,178","2,194","2,355","10,540","1,674","48,151",3.6%,3.48
Costa Mesa,1,Orange,15.65,06059,"114,778","112,383","2,395","43,532","17,134","4,397","5,701","15,370",930,"41,637",4.4%,2.7
Culver City,2,Los Angeles,5.11,06037,"39,705","39,394",311,"17,819","6,963","1,601","2,089","6,950",216,"16,942",4.9%,2.33
Daly City,1,San Mateo,7.66,06081,"109,142","108,461",681,"33,428","15,953","4,884","3,894","8,148",549,"32,167",3.8%,3.37
Danville,1,Contra Costa,18.03,06013,"43,876","43,633",243,"16,254","12,303","2,933",161,826,31,"15,474",4.8%,2.82
Davis,1,Yolo,9.89,06113,"69,183","67,716","1,467","27,024","12,671","2,407","3,189","8,270",487,"26,317",2.6%,2.57
Eagle Rock,1,Los Angeles,4.25,06037,,,,,,,,,,,,
El Cerrito,1,Contra Costa,3.69,06013,"24,953","24,860",93,"11,012","7,499",358,"1,403","1,693",59,"10,332",6.2%,2.41
Elk Grove,1,Sacramento,42.19,06067,"176,154","175,485",669,"55,438","48,234","1,537",962,"4,417",288,"53,656",3.2%,3.27
Emeryville,1,Alameda,1.25,06001,"12,298","12,225",73,"7,364",418,401,756,"5,753",36,"6,667",9.5%,1.83
Encinitas,1,San Diego,18.81,06073,"62,183","61,655",528,"26,625","15,517","4,963","1,820","3,647",678,"24,802",6.8%,2.49
Encino,1,Los Angeles,9.5,06037,,,,,,,,,,,,
Escondido,0,San Diego,36.81,06073,"153,008","150,634","2,374","49,211","24,884","2,994","3,353","14,184","3,796","47,691",3.1%,3.16
Fairfield,1,Solano,37.39,06095,"116,981","114,543","2,438","40,220","28,320","2,483","2,015","6,403",999,"38,288",4.8%,2.99
Fair Oaks,1,Sacramento,997.0,06067,,,,,,,,,,,,
Folsom,1,Sacramento,21.95,06067,"81,610","75,650","5,960","28,889","20,566",815,"1,297","5,304",907,"28,119",2.7%,2.69
Fremont,1,Alameda,77.46,06001,"234,220","232,569","1,651","77,309","44,700","10,192","2,584","19,107",726,"74,488",3.6%,3.12
Fresno,1,Fresno,111.96,06019,"545,769","536,019","9,750","181,978","112,361","4,649","22,442","37,769","4,757","172,021",5.5%,3.12
Glendale,1,Los Angeles,30.45,06037,"205,331","203,902","1,429","81,019","27,855","3,562","6,963","42,589",50,"76,737",5.3%,2.66
Goleta,1,Santa Barbara,7.9,06083,"32,223","31,938",285,"12,538","5,501","1,524","1,058","3,834",621,"11,762",6.2%,2.72
Granada Hills,1,Los Angeles,15.11,06037,,,,,,,,,,,,
Greenbrae,1,Marin,,006041,,,,,,,,,,,,
Hermosa Beach,1,Los Angeles,1.43,06037,"19,614","19,599",15,"10,092","4,419",833,"2,225","2,398",217,"9,565",5.2%,2.05
Huntington Beach,3,Orange,26.75,06059,"201,281","200,390",891,"82,501","39,214","9,464","9,696","21,040","3,087","78,328",5.1%,2.56
Irvine,3,Orange,66.11,06059,"281,707","265,275","16,432","108,822","43,013","17,187","6,765","40,692","1,165","102,033",6.2%,2.6
La Canada,1,Los Angeles,8.645,06037,,,,,,,,,,,,
Lafayette,1,Contra Costa,15.22,06013,"25,604","25,505",99,"10,032","7,712",304,687,"1,321",8,"9,503",5.3%,2.68
Laguna Hills,1,Orange,6.67,06059,"31,508","31,139",369,"11,298","6,404","1,917",573,"2,052",352,"10,861",3.9%,2.87
Laguna Niguel,1,Orange,14.83,06059,"65,316","64,892",424,"26,236","14,527","5,107","1,408","5,146",48,"24,869",5.2%,2.61
La Habra,1,Orange,7.37,06059,"63,371","63,031",340,"20,838","11,125","1,653","1,559","5,600",901,"19,994",4.1%,3.15
La Jolla,1,San Diego,8.934375,06073,,,,,,,,,,,,
La Mesa,1,San Diego,9.08,06073,"59,966","59,309",657,"26,929","12,611","1,603","2,449","10,084",182,"25,216",6.4%,2.35
La Quinta,1,Riverside,35.12,06065,"40,660","40,603",57,"24,957","19,423","2,488","1,140","1,675",231,"15,613",37.4%,2.6
Livermore,1,Alameda,25.17,06001,"91,861","91,351",510,"32,728","22,519","3,154","1,604","4,909",542,"31,696",3.2%,2.88
Long Beach,3,Los Angeles,50.29,06037,"472,217","463,253","8,964","177,783","74,748","10,127","21,689","68,873","2,346","166,349",6.4%,2.78
Los Altos,1,Santa Clara,6.49,06085,"30,876","30,649",227,"11,677","9,453",561,253,"1,410",0,"11,114",4.8%,2.76
Los Angeles,11,Los Angeles,468.67,06037,"4,010,684","3,914,329","96,355","1,517,755","560,432","88,926","137,109","721,206","10,082","1,407,755",7.2%,2.78
Los Gatos,1,Santa Clara,11.08,06085,"31,439","31,089",350,"13,637","8,133","1,779","1,223","2,438",64,"12,821",6.0%,2.42
Manhattan Bch.,1,Los Angeles,3.94,06073,,,,,,,,,,,,
Manhattan Beach,1,Los Angeles,3.94,06037,"35,250","35,222",28,"15,032","10,432","1,173","2,445",968,14,"14,030",6.7%,2.51
Marina Del Rey,1,Los Angeles,1.455,06073,,,,,,,,,,,,
Menlo Park,1,San Mateo,9.79,06081,"35,254","34,474",780,"14,082","7,292","1,094","1,753","3,915",28,"13,076",7.1%,2.64
Millbrae,1,San Mateo,3.25,06081,"22,832","22,517",315,"8,628","5,383",297,285,"2,630",33,"8,124",5.8%,2.77
Mission Viejo,1,Orange,17.74,06059,"94,267","93,325",942,"34,959","24,801","4,257",910,"4,940",51,"33,572",4.0%,2.78
Modesto,1,Stanislaus,36.87,06099,"222,335","219,089","3,246","76,641","53,259","3,236","7,884","9,982","2,280","74,139",3.3%,2.96
Monrovia,1,Los Angeles,13.6,06037,"37,935","37,779",156,"15,084","8,471","1,739","1,116","3,600",158,"14,215",5.8%,2.66
Monterey,1,Monterey,8.47,06053,"28,170","25,637","2,533","13,705","5,901",834,"2,630","4,291",49,"11,981",12.6%,2.14
Montrose,1,Los Angeles,3.437,06073,,,,,,,,,,,,
Morgan Hill,1,Santa Clara,12.88,06085,"46,454","46,068",386,"15,350","9,059","2,720",845,"1,498","1,228","14,688",4.3%,3.14
Mountain View,1,Santa Clara,12.0,06085,"82,272","82,002",270,"36,727","10,698","4,625","3,072","17,266","1,066","34,445",6.2%,2.38
Napa,1,Napa,17.84,06055,"79,278","78,032","1,246","30,698","19,031","2,181","2,957","5,164","1,365","28,655",6.7%,2.72
Newport Beach,1,Orange,23.8,06059,"85,780","85,378",402,"45,060","20,265","7,010","5,085","11,580","1,120","39,069",13.3%,2.19
North Hollywood,1,Los Angeles,5.87,06073,,,,,,,,,,,,
Novato,1,Marin,27.44,06041,"53,702","53,067",635,"21,458","12,583","3,427","1,343","3,557",548,"20,606",4.0%,2.58
Oakland,2,Alameda,55.79,06001,"433,697","426,360","7,337","175,457","74,468","7,007","32,844","60,583",555,"164,296",6.4%,2.6
Oceanside,1,San Diego,41.23,06073,"177,335","176,399",936,"66,078","34,640","7,603","5,783","14,777","3,275","62,073",6.1%,2.84
Orange,1,Orange,24.8,06059,"140,065","133,796","6,269","46,079","26,090","4,899","4,899","8,969","1,222","44,364",3.7%,3.02
Pacific Grove,1,Monterey,2.86,06053,"15,265","14,910",355,"8,201","4,751",500,"1,117","1,682",151,"6,779",17.3%,2.2
Palmdale,1,Los Angeles,105.96,06037,"156,737","156,538",199,"47,251","37,171",854,"1,416","5,653","2,157","43,904",7.1%,3.57
Palm Desert,1,Riverside,26.81,06065,"52,986","52,678",308,"38,677","15,427","11,004","3,052","5,490","3,704","24,555",36.5%,2.15
Palo Alto,1,Santa Clara,23.88,06085,"69,226","68,711",515,"29,298","16,574","1,231","1,927","9,467",99,"27,667",5.6%,2.48
Pasadena,4,Los Angeles,22.97,06037,"144,842","141,129","3,713","62,753","26,388","4,225","5,275","26,735",130,"57,822",7.9%,2.44
Petaluma,1,Sonoma,14.38,06097,"61,873","61,149",724,"23,730","16,706","1,802","1,557","2,898",767,"23,027",3.0%,2.66
Pinole,1,Contra Costa,5.32,06013,"19,505","19,437",68,"7,163","5,054",614,497,962,36,"6,907",3.6%,2.81
Pleasanton,1,Alameda,24.11,06001,"79,464","78,900",564,"28,508","17,253","2,752","1,598","6,525",380,"27,283",4.3%,2.89
Rancho Cucamonga,1,San Bernardino,39.85,06071,"175,522","172,605","2,917","59,440","37,172","3,685","2,763","14,270","1,550","57,050",4.0%,3.03
Rancho Palos Verdes,2,Los Angeles,13.46,06037,"41,731","41,391",340,"16,334","12,561","1,043",324,"2,381",25,"15,533",4.9%,2.66
Rancho Santa Margarita,1,Orange,12.96,06059,"48,793","48,791",2,"17,346","9,354","3,615",624,"3,743",10,"17,015",1.9%,2.87
Redding,1,Shasta,59.65,06089,"91,743","89,368","2,375","39,800","25,538","1,697","4,663","5,384","2,518","36,925",7.2%,2.42
Redlands,1,San Bernardino,36.13,06071,"70,952","68,584","2,368","27,129","17,370","1,202","3,140","4,331","1,086","25,217",7.0%,2.72
Redondo Bch.,1,Los Angeles,6.21,06073,,,,,,,,,,,,
Riverside,1,Riverside,81.14,06065,"328,155","316,069","12,086","101,414","64,645","3,915","6,406","24,221","2,227","96,479",4.9%,3.28
Roseville,1,Placer,36.22,06061,"145,163","144,316",847,"55,720","41,150","1,414","2,827","9,939",390,"53,409",4.1%,2.7
Sacramento,2,Sacramento,97.92,06067,"510,931","502,211","8,720","198,971","118,991","13,098","18,869","44,819","3,194","186,038",6.5%,2.7
San Carlos,1,San Mateo,5.54,06081,"30,145","30,054",91,"12,385","8,394",540,577,"2,842",32,"11,702",5.5%,2.57
San Clemente,1,Orange,18.71,06059,"64,581","64,308",273,"26,573","15,208","2,611","4,164","3,991",599,"24,337",8.4%,2.64
San Diego,8,San Diego,325.19,06073,"1,430,489","1,373,607","56,882","549,070","242,173","47,023","45,367","207,756","6,751","522,400",4.9%,2.63
