name,county,land_area
Adelanto,San Bernardino,56.01
Agoura Hills,Los Angeles,7.79
Alameda,Alameda,10.61
Albany,Alameda,1.79
Alhambra,Los Angeles,7.63
Aliso Viejo,Orange,7.47
Alturas,Modoc,2.43
Amador City,Amador,0.31
American Canyon,Napa,4.84
Anaheim,Orange,49.84
Anderson,Shasta,6.37
Angels Camp,Calaveras,3.63
Antioch,Contra Costa,28.35
Apple Valley,San Bernardino,73.19
Arcadia,Los Angeles,10.93
Arcata,Humboldt,9.1
Arroyo Grande,San Luis Obispo,5.84
Artesia,Los Angeles,1.62
Arvin,Kern,4.82
Atascadero,San Luis Obispo,25.64
Atherton,San Mateo,5.02
Atwater,Merced,6.09
Auburn,Placer,7.14
Avalon,Los Angeles,2.94
Avenal,Kings,19.42
Azusa,Los Angeles,9.66
Bakersfield,Kern,142.16
Baldwin Park,Los Angeles,6.63
Banning,Riverside,23.1
Barstow,San Bernardino,41.38
Beaumont,Riverside,30.91
Bell,Los Angeles,2.5
Bell Gardens,Los Angeles,2.46
Bellflower,Los Angeles,6.12
Belmont,San Mateo,4.62
Belvedere,Marin,0.52
Benicia,Solano,12.93
Berkeley,Alameda,10.47
Beverly Hills,Los Angeles,5.71
Big Bear Lake,San Bernardino,6.35
Biggs,Butte,0.64
Bishop,Inyo,1.86
Blue Lake,Humboldt,0.59
Blythe,Riverside,26.19
Bradbury,Los Angeles,1.96
Brawley,Imperial,7.68
Brea,Orange,12.08
Brentwood,Contra Costa,14.79
Brisbane,San Mateo,3.1
Buellton,Santa Barbara,1.58
Buena Park,Orange,10.52
Burbank,Los Angeles,17.34
Burlingame,San Mateo,4.41
Calabasas,Los Angeles,12.9
Calexico,Imperial,8.39
California City,Kern,203.52
Calimesa,Riverside,14.85
Calipatria,Imperial,3.72
Calistoga,Napa,2.6
Camarillo,Ventura,19.53
Campbell,Santa Clara,5.8
Canyon Lake,Riverside,3.93
Capitola,Santa Cruz,1.59
Carlsbad,San Diego,37.72
Carmel-by-the-Sea,Monterey,1.08
Carpinteria,Santa Barbara,2.59
Carson,Los Angeles,18.72
Cathedral City,Riverside,21.5
Ceres,Stanislaus,8.01
Cerritos,Los Angeles,8.73
Chico,Butte,32.92
Chino,San Bernardino,29.64
Chino Hills,San Bernardino,44.68
Chowchilla,Madera,7.66
Chula Vista,San Diego,49.63
Citrus Heights,Sacramento,14.23
Claremont,Los Angeles,13.35
Clayton,Contra Costa,3.84
Clearlake,Lake,10.13
Cloverdale,Sonoma,2.65
Clovis,Fresno,23.28
Coachella,Riverside,28.95
Coalinga,Fresno,6.12
Colfax,Placer,1.41
Colma,San Mateo,1.91
Colton,San Bernardino,15.32
Colusa,Colusa,1.83
Commerce,Los Angeles,6.54
Compton,Los Angeles,10.01
Concord,Contra Costa,30.55
Corcoran,Kings,7.47
Corning,Tehama,3.55
Corona,Riverside,38.83
Coronado,San Diego,7.93
Corte Madera,Marin,3.16
Costa Mesa,Orange,15.65
Cotati,Sonoma,1.88
Covina,Los Angeles,7.03
Crescent City,Del Norte,1.96
Cudahy,Los Angeles,1.18
Culver City,Los Angeles,5.11
Cupertino,Santa Clara,11.26
Cypress,Orange,6.58
Daly City,San Mateo,7.66
Dana Point,Orange,6.5
Danville,Contra Costa,18.03
Davis,Yolo,9.89
Del Mar,San Diego,1.71
Del Rey Oaks,Monterey,0.48
Delano,Kern,14.3
Desert Hot Springs,Riverside,23.62
Diamond Bar,Los Angeles,14.88
Dinuba,Tulare,6.47
Dixon,Solano,7
Dorris,Siskiyou,0.7
Dos Palos,Merced,1.35
Downey,Los Angeles,12.41
Duarte,Los Angeles,6.69
Dublin,Alameda,14.91
Dunsmuir,Siskiyou,1.7
East Palo Alto,San Mateo,2.51
Eastvale,Riverside,13.1
El Cajon,San Diego,14.43
El Centro,Imperial,11.08
El Cerrito,Contra Costa,3.69
El Monte,Los Angeles,9.56
El Segundo,Los Angeles,5.46
Elk Grove,Sacramento,42.19
Emeryville,Alameda,1.25
Encinitas,San Diego,18.81
Escalon,San Joaquin,2.3
Escondido,San Diego,36.81
Etna,Siskiyou,0.76
Eureka,Humboldt,9.38
Exeter,Tulare,2.46
Fairfax,Marin,2.2
Fairfield,Solano,37.39
Farmersville,Tulare,2.26
Ferndale,Humboldt,1.03
Fillmore,Ventura,3.36
Firebaugh,Fresno,3.46
Folsom,Sacramento,21.95
Fontana,San Bernardino,42.43
Fort Bragg,Mendocino,2.75
Fort Jones,Siskiyou,0.6
Fortuna,Humboldt,4.85
Foster City,San Mateo,3.76
Fountain Valley,Orange,9.02
Fowler,Fresno,2.53
Fremont,Alameda,77.46
Fresno,Fresno,111.96
Fullerton,Orange,22.35
Galt,Sacramento,5.93
Garden Grove,Orange,17.94
Gardena,Los Angeles,5.83
Gilroy,Santa Clara,16.15
Glendale,Los Angeles,30.45
