,county,num_stores,Total.Pop,Household,Group.Quarters,Total.HU,Single.Detached,Single.Attached,Two.to.Four,Five.Plus,Mobile.Homes,Occupied,Vacancy.Rate,Persons.per.Household,size,Pop.Density,Pop.Density.Normalized,FIPS,median_household_income
0,Alameda,8,1055432.0,1029086.0,26346.0,406036.0,194462.0,29019.0,55458.0,124513.0,2584.0,383977.0,0.05485714285714286,2.5842857142857136,738.0,1430.1246612466125,0.10343302778584373,6001,92.574
1,Butte,1,110326.0,106605.0,3721.0,41738.0,22365.0,1648.0,6345.0,9302.0,2078.0,39650.0,0.05,2.69,1640.0,67.27195121951219,-0.28507772018129385,6007,48.443
2,Contra Costa,9,463177.0,460051.0,3126.0,176024.0,109408.0,16199.0,12138.0,35995.0,2284.0,167947.0,0.046875,2.74125,720.0,643.3013888888889,-0.12086802530122931,6013,93.712
3,Fresno,2,664944.0,654806.0,10138.0,224554.0,143588.0,5413.0,25866.0,43970.0,5717.0,213032.0,0.046,3.01,5963.0,111.51165520711052,-0.27246623226362676,6019,51.261
4,Kern,1,392756.0,389102.0,3654.0,131363.0,94257.0,3361.0,14677.0,16289.0,2779.0,123160.0,0.062,3.16,8142.0,48.23827069516089,-0.2905036839723012,6029,52.479
5,Los Angeles,42,6025463.0,5900529.0,124934.0,2311470.0,941322.0,139265.0,204734.0,1004608.0,21541.0,2155177.0,0.054818181818181815,2.6059090909090905,4060.0,1484.1041871921182,0.11882106337156956,6037,64.251
6,Marin,2,113509.0,110730.0,2779.0,45591.0,23715.0,5844.0,3457.0,11620.0,955.0,43760.0,0.040499999999999994,2.535,520.0,218.28653846153847,-0.2420277340663735,6041,110.217
7,Monterey,2,43435.0,40547.0,2888.0,21906.0,10652.0,1334.0,3747.0,5973.0,200.0,18760.0,0.14950000000000002,2.17,3322.0,13.074954846478025,-0.3005277504329423,6053,66.676
8,Napa,1,79278.0,78032.0,1246.0,30698.0,19031.0,2181.0,2957.0,5164.0,1365.0,28655.0,0.067,2.72,754.0,105.14323607427056,-0.2742816883745213,6055,84.753
9,Orange,21,1807522.0,1772115.0,35407.0,643718.0,314363.0,83334.0,55935.0,172810.0,17276.0,609505.0,0.05047058823529412,2.864117647058823,948.0,1906.668776371308,0.23928227198094945,6059,85.398
10,Placer,1,145163.0,144316.0,847.0,55720.0,41150.0,1414.0,2827.0,9939.0,390.0,53409.0,0.040999999999999995,2.7,1407.0,103.17199715707179,-0.2748436328168724,6061,84.357
11,Riverside,6,755599.0,742083.0,13516.0,272986.0,173426.0,23786.0,16068.0,49210.0,10496.0,236631.0,0.17866666666666667,2.9716666666666662,7208.0,104.82783018867924,-0.2743716016686159,6065,63.948
12,Sacramento,4,768695.0,753346.0,15349.0,283298.0,187791.0,15450.0,21128.0,54540.0,4389.0,267813.0,0.04133333333333333,2.8866666666666667,966.0,795.7505175983437,-0.07740909200192146,6067,63.902
13,San Bernardino,3,328883.0,323443.0,5440.0,112419.0,74484.0,5770.0,6793.0,22109.0,3263.0,107181.0,0.04866666666666667,3.016666666666667,20062.0,16.393330674907787,-0.2995817753722083,6071,60.164
14,San Diego,13,2269646.0,2205697.0,63949.0,852327.0,401105.0,80661.0,66675.0,283859.0,20027.0,809847.0,0.05457142857142857,2.754285714285714,4204.0,539.8777354900095,-0.15035118268416736,6073,74.855
15,San Francisco,6,897806.0,870493.0,27313.0,404164.0,65867.0,59682.0,81744.0,196269.0,602.0,373404.0,0.076,2.33,47.0,19102.255319148935,5.141257474668359,6075,104.552
16,San Joaquin,1,318522.0,309576.0,8946.0,101235.0,65230.0,7680.0,8996.0,18221.0,1108.0,95015.0,0.061,3.26,1399.0,227.6783416726233,-0.23935039669641944,6077,61.145
17,San Luis Obispo,2,63607.0,62126.0,1481.0,29531.0,15381.0,2097.0,3115.0,6859.0,2079.0,27644.0,0.059000000000000004,2.2750000000000004,3304.0,19.251513317191282,-0.29876698836844023,6079,70.699
18,San Mateo,7,368339.0,364577.0,3762.0,132400.0,68502.0,13778.0,10463.0,38628.0,1029.0,125350.0,0.05499999999999999,2.8516666666666666,449.0,820.3541202672606,-0.07039530099922603,6081,113.776
19,Santa Barbara,4,233141.0,230222.0,2919.0,82113.0,42305.0,6518.0,9521.0,21209.0,2560.0,78060.0,0.052,2.9499999999999997,2738.0,85.15010956902849,-0.2799811630687447,6083,71.657
20,Santa Clara,11,1508245.0,1492135.0,16110.0,521627.0,260743.0,51873.0,37703.0,153766.0,17542.0,500170.0,0.052,2.6950000000000003,1291.0,1168.2765298218435,0.02878753407610056,6085,116.178
21,Santa Cruz,2,74532.0,63259.0,11273.0,29508.0,14892.0,3222.0,4024.0,6248.0,1122.0,27381.0,0.09849999999999999,2.2249999999999996,446.0,167.1121076233184,-0.25661611640253523,6087,78.041
22,Shasta,1,91743.0,89368.0,2375.0,39800.0,25538.0,1697.0,4663.0,5384.0,2518.0,36925.0,0.07200000000000001,2.42,3786.0,24.23217115689382,-0.2973471437378104,6089,50.905
23,Solano,1,116981.0,114543.0,2438.0,40220.0,28320.0,2483.0,2015.0,6403.0,999.0,38288.0,0.048,2.99,828.0,141.28140096618358,-0.26397972003339537,6095,77.609
24,Sonoma,3,235501.0,231192.0,4309.0,92915.0,56661.0,8089.0,7837.0,16372.0,3956.0,89078.0,0.0375,2.615,1576.0,149.42956852791878,-0.2616569080004587,6097,76.753
25,Stanislaus,1,222335.0,219089.0,3246.0,76641.0,53259.0,3236.0,7884.0,9982.0,2280.0,74139.0,0.033,2.96,1495.0,148.7190635451505,-0.2618594528684835,6099,57.387
26,Ventura,4,321860.0,318954.0,2906.0,119417.0,80068.0,13779.0,5029.0,17557.0,2984.0,115058.0,0.036666666666666674,2.7566666666666664,1846.0,174.35536294691224,-0.2545512692456987,6111,84.017
