,city_name,store_num
0,Agoura Hills,1
1,Alameda,0
2,Aliso Viejo,1
3,Arroyo Grande,1
4,Bakersfield,1
5,Berkeley,0
6,Brea,0
7,Brentwood,1
8,Burbank,0
9,Calabasas,1
10,Camarillo,1
11,Campbell,1
12,Capitola,0
13,Carlsbad,0
14,Castro Valley,1
15,Cathedral City,1
16,Cerritos,0
17,Chatsworth,1
18,Chico,0
19,Chino Hills,1
20,Chula Vista,1
21,Claremont,1
22,Clovis,0
23,Concord,0
24,Corona,0
25,Costa Mesa,1
26,Culver City,2
27,Daly City,0
28,Danville,0
29,Davis,0
30,Eagle Rock,1
31,El Cerrito,1
32,Elk Grove,1
33,Emeryville,1
34,Encinitas,0
35,Encino,0
36,Escondido,1
37,Fairfield,0
38,Fair Oaks,1
39,Folsom,0
40,Fremont,0
41,Fresno,0
42,Glendale,0
43,Goleta,0
44,Granada Hills,0
45,Greenbrae,0
46,Hermosa Beach,0
47,Huntington Beach,0
48,Irvine,0
49,La Canada,1
50,Lafayette,1
51,Laguna Hills,1
52,Laguna Niguel,1
53,La Habra,0
54,La Jolla,0
55,La Mesa,0
56,La Quinta,1
57,Livermore,1
58,Long Beach,3
59,Los Altos,0
60,Los Angeles,11
61,Los Gatos,1
62,Manhattan Bch.,1
63,Manhattan Beach,1
64,Marina Del Rey,1
65,Menlo Park,1
66,Millbrae,0
67,Mission Viejo,1
68,Modesto,0
69,Monrovia,1
70,Monterey,1
71,Montrose,1
72,Morgan Hill,1
73,Mountain View,1
74,Napa,0
75,Newport Beach,1
76,North Hollywood,1
77,Novato,0
78,Oakland,0
79,Oceanside,1
80,Orange,0
81,Pacific Grove,1
82,Palmdale,0
83,Palm Desert,1
84,Palo Alto,0
85,Pasadena,4
86,Petaluma,1
87,Pinole,0
88,Pleasanton,1
89,Rancho Cucamonga,0
90,Rancho Palos Verdes,0
91,Rancho Santa Margarita,0
92,Redding,0
93,Redlands,0
94,Redondo Bch.,1
95,Riverside,0
96,Roseville,0
97,Sacramento,2
98,San Carlos,1
99,San Clemente,1
100,San Diego,8
101,San Dimas,1
102,San Francisco,6
103,San Jose,0
104,San Juan Capistrano,0
105,San Luis Obispo,1
106,San Mateo,2
107,San Rafael,1
108,San Ramon,1
109,Santa Ana,1
110,Santa Barbara,2
111,Santa Clarita,1
112,Santa Cruz,1
113,Santa Maria,1
114,Santa Monica,2
115,Santa Rosa,2
116,Sherman Oaks,1
117,Simi Valley,1
118,South San Francisco,0
119,S. Pasadena,1
120,Stockton,0
121,Studio City,1
122,Sunnyvale,1
123,Temecula,1
124,Templeton,1
125,Thousand Oaks,2
126,Toluca Lake,1
127,Torrance,0
128,Tustin,0
129,Ventura,0
130,Walnut Creek,1
131,Westchester,1
132,West Hills,1
133,West Hollywood,2
134,Westlake Village,1
135,Whittier,0
136,Woodland Hills,1
137,Yorba Linda,1
